Country,Indicator,Value
Malta,Life expectancy (at birth) (FEMALE),83.57609
Kazakhstan,Life expectancy (at birth) (FEMALE),77.61427
Kenya,Life expectancy (at birth) (FEMALE),68.44287
Eastern Mediterranean,Life expectancy (at birth) (FEMALE),69.27311
Honduras,Life expectancy (at birth) (FEMALE),71.02383
Bhutan,Life expectancy (at birth) (FEMALE),72.34988
Chile,Life expectancy (at birth) (FEMALE),79.76972
Bangladesh,Life expectancy (at birth) (FEMALE),72.21562
Antigua and Barbuda,Life expectancy (at birth) (FEMALE),78.24885
Malta,Life expectancy (at birth) (FEMALE),80.10076
Honduras,Life expectancy (at birth) (FEMALE),72.1263
Uganda,Life expectancy (at birth) (FEMALE),50.75184
France,Life expectancy (at birth) (FEMALE),84.34424
Libya,Life expectancy (at birth) (MALE),70.22740936
Lithuania,Life expectancy (at birth) (MALE),69.58664703
Indonesia,Life expectancy (at birth) (MALE),66.41326904
Iran (Islamic Republic of),Life expectancy (at birth) (MALE),73.08422089
Finland,Life expectancy (at birth) (MALE),79.00774384
France,Life expectancy (at birth) (MALE),79.07624054
Gabon,Life expectancy (at birth) (MALE),62.68143845
Gambia,Life expectancy (at birth) (MALE),62.22161865
Georgia,Life expectancy (at birth) (MALE),66.85416412
Germany,Life expectancy (at birth) (MALE),78.14950562
Ghana,Life expectancy (at birth) (MALE),63.69049072
Bahamas,Life expectancy (at birth) (TOTAL),72.95849
Malta,Life expectancy (at birth) (TOTAL),77.8685
World,Life expectancy (at birth) (TOTAL),66.7943
Africa,Life expectancy (at birth) (TOTAL),59.48694
Eastern Mediterranean,Life expectancy (at birth) (TOTAL),65.01682
Turkmenistan,Life expectancy (at birth) (FEMALE),71.08941
Venezuela (Bolivarian Republic of),Life expectancy (at birth) (FEMALE),78.97281
Tajikistan,Life expectancy (at birth) (FEMALE),67.77222
Comoros,Life expectancy (at birth) (FEMALE),62.85692
Belize,Life expectancy (at birth) (FEMALE),77.76621
Timor-Leste,Life expectancy (at birth) (FEMALE),63.40345
Argentina,Life expectancy (at birth) (FEMALE),78.63397
Australia,Life expectancy (at birth) (FEMALE),84.16809
Morocco,Life expectancy (at birth) (FEMALE),72.26922
World,Life expectancy (at birth) (FEMALE),73.20403
United Arab Emirates,Life expectancy (at birth) (FEMALE),77.39238
Qatar,Life expectancy (at birth) (FEMALE),75.92502
Panama,Life expectancy (at birth) (FEMALE),81.38107
Cambodia,Life expectancy (at birth) (FEMALE),61.24218
Estonia,Life expectancy (at birth) (FEMALE),81.70759
Gabon,Life expectancy (at birth) (FEMALE),69.73158
Iraq,Life expectancy (at birth) (FEMALE),74.96682
Chad,Life expectancy (at birth) (FEMALE),57.42608
Solomon Islands,Life expectancy (at birth) (FEMALE),67.40598
Nigeria,Life expectancy (at birth) (FEMALE),64.10055
Angola,Life expectancy (at birth) (FEMALE),52.12018
Armenia,Life expectancy (at birth) (FEMALE),77.83168
Egypt,Life expectancy (at birth) (FEMALE),74.14153
Low-income economies,Life expectancy (at birth) (FEMALE),62.06323
Eastern Mediterranean,Life expectancy (at birth) (FEMALE),70.13887
Western Pacific,Life expectancy (at birth) (FEMALE),80.32286
Africa,Life expectancy (at birth) (FEMALE),64.68992
South-East Asia,Life expectancy (at birth) (FEMALE),64.57714
Côte d'Ivoire,Life expectancy (at birth) (FEMALE),58.93549
Equatorial Guinea,Life expectancy (at birth) (FEMALE),56.4894
Sao Tome and Principe,Life expectancy (at birth) (FEMALE),64.30998
Tonga,Life expectancy (at birth) (FEMALE),75.502
Cambodia,Life expectancy (at birth) (FEMALE),70.01144
Colombia,Life expectancy (at birth) (FEMALE),81.01265
Romania,Life expectancy (at birth) (FEMALE),79.2589
Serbia,Life expectancy (at birth) (FEMALE),77.76003
Namibia,Life expectancy (at birth) (FEMALE),55.49687
Yemen,Life expectancy (at birth) (FEMALE),64.69306
Honduras,Life expectancy (at birth) (FEMALE),73.16344
India,Life expectancy (at birth) (FEMALE),72.16656
Trinidad and Tobago,Life expectancy (at birth) (FEMALE),75.69144
Georgia,Life expectancy (at birth) (FEMALE),76.9273
Germany,Life expectancy (at birth) (FEMALE),82.71346
Liberia,Life expectancy (at birth) (FEMALE),61.6759
Turkmenistan,Life expectancy (at birth) (FEMALE),72.96837
Hungary,Life expectancy (at birth) (FEMALE),78.35072
Greece,Life expectancy (at birth) (FEMALE),82.93676
India,Life expectancy (at birth) (TOTAL),67.22851
Côte d'Ivoire,Life expectancy (at birth) (TOTAL),62.91527
Tunisia,Life expectancy (at birth) (TOTAL),77.03745
France,Life expectancy (at birth) (TOTAL),78.91328
Türkiye,Life expectancy (at birth) (TOTAL),77.79037
Sierra Leone,Life expectancy (at birth) (TOTAL),54.74398
Peru,Life expectancy (at birth) (TOTAL),79.07546
Romania,Life expectancy (at birth) (TOTAL),73.70329
Rwanda,Life expectancy (at birth) (TOTAL),69.10349
Papua New Guinea,Life expectancy (at birth) (TOTAL),63.42075
Lesotho,Life expectancy (at birth) (TOTAL),47.82177
Madagascar,Life expectancy (at birth) (TOTAL),58.82296
Ireland,Life expectancy (at birth) (TOTAL),81.1396
Sudan,Life expectancy (at birth) (TOTAL),62.46532
Senegal,Life expectancy (at birth) (TOTAL),68.57918
Singapore,Life expectancy (at birth) (TOTAL),78.43803
Democratic Republic of the Congo,Life expectancy (at birth) (TOTAL),52.44439
Costa Rica,Life expectancy (at birth) (TOTAL),79.55984
Pakistan,Life expectancy (at birth) (TOTAL),65.60827
Brunei Darussalam,Life expectancy (at birth) (TOTAL),72.20396
Kazakhstan,Life expectancy (at birth) (TOTAL),71.90915
Lebanon,Life expectancy (at birth) (TOTAL),74.61004
United Arab Emirates,Life expectancy (at birth) (TOTAL),75.31077
Egypt,Life expectancy (at birth) (TOTAL),71.81616
Samoa,Life expectancy (at birth) (TOTAL),68.50683
Democratic People's Republic of Korea,Life expectancy (at birth) (TOTAL),70.182
Venezuela (Bolivarian Republic of),Life expectancy (at birth) (TOTAL),73.94636
Azerbaijan,Life expectancy (at birth) (TOTAL),69.02677
Bangladesh,Life expectancy (at birth) (TOTAL),73.58051
New Zealand,Life expectancy (at birth) (TOTAL),80.93715
Malta,Life expectancy (at birth) (TOTAL),81.81193543
Norway,Life expectancy (at birth) (FEMALE),82.85048
Bosnia and Herzegovina,Life expectancy (at birth) (FEMALE),78.46719
Albania,Life expectancy (at birth) (FEMALE),79.90692
Kazakhstan,Life expectancy (at birth) (FEMALE),69.15388
Sierra Leone,Life expectancy (at birth) (FEMALE),57.93263
Timor-Leste,Life expectancy (at birth) (FEMALE),70.48689
Bulgaria,Life expectancy (at birth) (FEMALE),77.23328
Pakistan,Life expectancy (at birth) (FEMALE),65.36355
Nicaragua,Life expectancy (at birth) (FEMALE),76.65556
Brunei Darussalam,Life expectancy (at birth) (FEMALE),75.84433
Cameroon,Life expectancy (at birth) (FEMALE),64.49857
Malaysia,Life expectancy (at birth) (FEMALE),76.51662
Ireland,Life expectancy (at birth) (FEMALE),82.92957
Italy,Life expectancy (at birth) (FEMALE),84.22002
Indonesia,Life expectancy (at birth) (FEMALE),72.504
South-East Asia,Life expectancy (at birth) (FEMALE),73.10158
Costa Rica,Life expectancy (at birth) (FEMALE),83.47144
Seychelles,Life expectancy (at birth) (FEMALE),76.28439
Vanuatu,Life expectancy (at birth) (FEMALE),66.94464
Bolivia (Plurinational State of),Life expectancy (at birth) (FEMALE),72.45124
Namibia,Life expectancy (at birth) (FEMALE),66.22478
Niger,Life expectancy (at birth) (FEMALE),64.55505
Botswana,Life expectancy (at birth) (FEMALE),65.45545
Brazil,Life expectancy (at birth) (FEMALE),78.64028
Antigua and Barbuda,Life expectancy (at birth) (FEMALE),76.95264
Uruguay,Life expectancy (at birth) (FEMALE),80.5644
Samoa,Life expectancy (at birth) (FEMALE),71.15867
Indonesia,Life expectancy (at birth) (FEMALE),73.29897
Viet Nam,Life expectancy (at birth) (FEMALE),77.61496
Slovenia,Life expectancy (at birth) (FEMALE),84.0631
Suriname,Life expectancy (at birth) (FEMALE),72.98386
Guinea-Bissau,Life expectancy (at birth) (FEMALE),52.75846
Algeria,Life expectancy (at birth) (FEMALE),76.79234
Kenya,Life expectancy (at birth) (FEMALE),66.61713
Western Pacific,Life expectancy (at birth) (FEMALE),75.32539
Iraq,Life expectancy (at birth) (FEMALE),73.40775
United States of America,Life expectancy (at birth) (FEMALE),80.80196
Egypt,Life expectancy (at birth) (FEMALE),72.41843
South Africa,Life expectancy (at birth) (FEMALE),68.28989
Tonga,Life expectancy (at birth) (FEMALE),75.54055
Serbia,Life expectancy (at birth) (FEMALE),76.83375
China,Life expectancy (at birth) (FEMALE),80.49312
Rwanda,Life expectancy (at birth) (FEMALE),49.19043
Serbia,Life expectancy (at birth) (FEMALE),74.28353
Denmark,Life expectancy (at birth) (FEMALE),79.1277
Mongolia,Life expectancy (at birth) (FEMALE),72.13081
Mali,Life expectancy (at birth) (FEMALE),63.40044
Maldives,Life expectancy (at birth) (FEMALE),80.76191
Mauritania,Life expectancy (at birth) (TOTAL),68.86843872
Mauritius,Life expectancy (at birth) (TOTAL),73.41967011
Mexico,Life expectancy (at birth) (TOTAL),70.8325882
Micronesia (Federated States of),Life expectancy (at birth) (TOTAL),65.70956421
Mongolia,Life expectancy (at birth) (TOTAL),70.0979538
Montenegro,Life expectancy (at birth) (TOTAL),74.70975494
Morocco,Life expectancy (at birth) (TOTAL),72.61868286
Mozambique,Life expectancy (at birth) (TOTAL),57.66202545
Myanmar,Life expectancy (at birth) (TOTAL),67.84580994
Namibia,Life expectancy (at birth) (TOTAL),60.35994721
Nepal,Life expectancy (at birth) (TOTAL),70.04936981
Iraq,Life expectancy (at birth) (TOTAL),71.46632385
Ireland,Life expectancy (at birth) (TOTAL),81.60163117
Israel,Life expectancy (at birth) (TOTAL),81.74464417
Italy,Life expectancy (at birth) (TOTAL),82.19747162
Jamaica,Life expectancy (at birth) (TOTAL),70.14394379
Lithuania,Life expectancy (at birth) (FEMALE),78.66704
Zambia,Life expectancy (at birth) (FEMALE),45.24248
Kiribati,Life expectancy (at birth) (FEMALE),59.4002
Ecuador,Life expectancy (at birth) (FEMALE),79.49764
Saudi Arabia,Life expectancy (at birth) (FEMALE),71.61943
Saudi Arabia,Life expectancy (at birth) (FEMALE),76.14821
Belarus,Life expectancy (at birth) (FEMALE),78.79088
Austria,Life expectancy (at birth) (FEMALE),80.98243
Russian Federation,Life expectancy (at birth) (FEMALE),78.00386
Senegal,Life expectancy (at birth) (FEMALE),60.3232
Republic of Korea,Life expectancy (at birth) (FEMALE),86.08791
Lower-middle-income economies,Life expectancy (at birth) (FEMALE),70.09075
Hungary,Life expectancy (at birth) (FEMALE),75.63371
Ecuador,Life expectancy (at birth) (FEMALE),80.50043
El Salvador,Life expectancy (at birth) (FEMALE),79.12917
Dominican Republic,Life expectancy (at birth) (FEMALE),76.66166
Croatia,Life expectancy (at birth) (FEMALE),77.88135
Ghana,Life expectancy (at birth) (FEMALE),64.52904
Guinea,Life expectancy (at birth) (FEMALE),55.29761
Netherlands (Kingdom of the),Life expectancy (at birth) (FEMALE),82.49984
Mexico,Life expectancy (at birth) (FEMALE),77.11522
Grenada,Life expectancy (at birth) (FEMALE),75.33178
Haiti,Life expectancy (at birth) (FEMALE),63.12614
Upper-middle-income economies,Life expectancy (at birth) (FEMALE),76.94045
South-East Asia,Life expectancy (at birth) (FEMALE),69.98708
Argentina,Life expectancy (at birth) (FEMALE),79.29972
Japan,Life expectancy (at birth) (FEMALE),85.76836
Denmark,Life expectancy (at birth) (FEMALE),81.10014
Zimbabwe,Life expectancy (at birth) (FEMALE),53.21167
Tunisia,Life expectancy (at birth) (FEMALE),76.49287
South Africa,Life expectancy (at birth) (FEMALE),59.23687
Bhutan,Life expectancy (at birth) (FEMALE),74.38692
Lebanon,Life expectancy (at birth) (FEMALE),78.12386
Paraguay,Life expectancy (at birth) (FEMALE),73.16442871
Peru,Life expectancy (at birth) (FEMALE),74.80744934
Philippines,Life expectancy (at birth) (FEMALE),69.88256073
Poland,Life expectancy (at birth) (FEMALE),79.39878845
Portugal,Life expectancy (at birth) (FEMALE),83.88307953
Puerto Rico,Life expectancy (at birth) (FEMALE),83.51311493
Qatar,Life expectancy (at birth) (FEMALE),77.97981262
Luxembourg,Life expectancy (at birth) (FEMALE),84.78574371
Madagascar,Life expectancy (at birth) (FEMALE),64.02700806
Malawi,Life expectancy (at birth) (FEMALE),65.26952362
Malaysia,Life expectancy (at birth) (FEMALE),75.31574249
Maldives,Life expectancy (at birth) (FEMALE),76.59470367
Mali,Life expectancy (at birth) (FEMALE),62.28961563
Malta,Life expectancy (at birth) (FEMALE),83.7301178
Mauritania,Life expectancy (at birth) (FEMALE),69.36220551
Mauritius,Life expectancy (at birth) (FEMALE),77.31542
Sweden,Life expectancy (at birth) (FEMALE),83.14901
Kiribati,Life expectancy (at birth) (FEMALE),62.80285
Türkiye,Life expectancy (at birth) (FEMALE),76.84741
Switzerland,Life expectancy (at birth) (FEMALE),82.34627
Congo,Life expectancy (at birth) (FEMALE),60.84641
Estonia,Life expectancy (at birth) (FEMALE),82.60069
Congo,Life expectancy (at birth) (FEMALE),65.61142
Barbados,Life expectancy (at birth) (FEMALE),76.71597
Bhutan,Life expectancy (at birth) (FEMALE),73.45096
Belarus,Life expectancy (at birth) (FEMALE),76.40522
Bolivia (Plurinational State of),Life expectancy (at birth) (FEMALE),67.24576
Madagascar,Life expectancy (at birth) (FEMALE),66.59742
Zimbabwe,Life expectancy (at birth) (FEMALE),63.60674
Viet Nam,Life expectancy (at birth) (FEMALE),77.14917
Sao Tome and Principe,Life expectancy (at birth) (FEMALE),71.1162
Fiji,Life expectancy (at birth) (FEMALE),69.52204
Iceland,Life expectancy (at birth) (FEMALE),83.56476
Chad,Life expectancy (at birth) (FEMALE),61.34304
Rwanda,Life expectancy (at birth) (FEMALE),66.51296
Europe,Life expectancy (at birth) (FEMALE),79.26534
Lower-middle-income economies,Life expectancy (at birth) (FEMALE),68.44291
Samoa,Life expectancy (at birth) (FEMALE),71.8475
Russian Federation,Life expectancy (at birth) (FEMALE),72.25294
Colombia,Life expectancy (at birth) (FEMALE),80.14824
El Salvador,Life expectancy (at birth) (FEMALE),78.04059
Ethiopia,Life expectancy (at birth) (FEMALE),68.64172
Mongolia,Life expectancy (at birth) (FEMALE),64.11119
Rwanda,Life expectancy (at birth) (FEMALE),71.24305
Bulgaria,Life expectancy (at birth) (FEMALE),78.04005
Brunei Darussalam,Life expectancy (at birth) (FEMALE),75.35551
Slovenia,Life expectancy (at birth) (FEMALE),83.32298
Vanuatu,Life expectancy (at birth) (FEMALE),67.50381
Mauritania,Life expectancy (at birth) (FEMALE),68.73493
Mongolia,Life expectancy (at birth) (FEMALE),69.46863
Upper-middle-income economies,Life expectancy (at birth) (FEMALE),78.66937
Indonesia,Life expectancy (at birth) (FEMALE),68.5524
Togo,Life expectancy (at birth) (FEMALE),61.82516
Portugal,Life expectancy (at birth) (FEMALE),84.39763
Niger,Life expectancy (at birth) (FEMALE),50.98764
Chile,Life expectancy (at birth) (FEMALE),82.50868
Saint Lucia,Life expectancy (at birth) (FEMALE),76.31937
Myanmar,Life expectancy (at birth) (FEMALE),72.20418
Mauritius,Life expectancy (at birth) (FEMALE),76.80299
Madagascar,Life expectancy (at birth) (FEMALE),64.16717
Malawi,Life expectancy (at birth) (FEMALE),45.58632
Jamaica,Life expectancy (at birth) (FEMALE),76.50031
Kuwait,Life expectancy (at birth) (FEMALE),83.94704
Cuba,Life expectancy (at birth) (FEMALE),80.18662
Fiji,Life expectancy (at birth) (FEMALE),70.28452
Netherlands (Kingdom of the),Life expectancy (at birth) (FEMALE),83.14901
Hungary,Life expectancy (at birth) (FEMALE),79.5864
Finland,Life expectancy (at birth) (FEMALE),80.91476
Lesotho,Life expectancy (at birth) (FEMALE),50.58294
Lao People's Democratic Republic,Life expectancy (at birth) (FEMALE),69.5557
Latvia,Life expectancy (at birth) (FEMALE),79.29105
Côte d'Ivoire,Life expectancy (at birth) (FEMALE),52.30949
Germany,Life expectancy (at birth) (FEMALE),84.77129
Czechia,Life expectancy (at birth) (FEMALE),81.93262
Sweden,Life expectancy (at birth) (FEMALE),83.9655
Algeria,Life expectancy (at birth) (FEMALE),77.50346
Qatar,Life expectancy (at birth) (FEMALE),76.62833
United Republic of Tanzania,Life expectancy (at birth) (FEMALE),62.6319
Guinea,Life expectancy (at birth) (FEMALE),62.25351
Norway,Life expectancy (at birth) (FEMALE),83.70757
Oman,Life expectancy (at birth) (FEMALE),75.26434
Azerbaijan,Life expectancy (at birth) (FEMALE),71.82773
Azerbaijan,Life expectancy (at birth) (FEMALE),73.42561
World,Life expectancy (at birth) (FEMALE),75.87223
Lithuania,Life expectancy (at birth) (FEMALE),80.43407
India,Life expectancy (at birth) (FEMALE),68.93996
Zimbabwe,Life expectancy (at birth) (FEMALE),48.11914
Croatia,Life expectancy (at birth) (FEMALE),80.73349
Democratic Republic of the Congo,Life expectancy (at birth) (FEMALE),54.48838
Saudi Arabia,Life expectancy (at birth) (FEMALE),73.67152
Americas,Life expectancy (at birth) (FEMALE),79.5191
Ireland,Life expectancy (at birth) (FEMALE),82.43913
Italy,Life expectancy (at birth) (FEMALE),82.14725
Samoa,Life expectancy (at birth) (FEMALE),71.48901
Western Pacific,Life expectancy (at birth) (FEMALE),78.74726
Mauritius,Life expectancy (at birth) (FEMALE),76.90869904
Mexico,Life expectancy (at birth) (FEMALE),74.68952179
